Clothes and shoes,25
Beauty product,3
Medicine and doctor's office,8
Books/postcard/portrait,3
Barbershop,1
Farming,0
Construction (roofing and plumbing),2
"Furnishing (furniture,  carpet,  cabinets,  rugs)",16
Employment,3
Printer/binder,0
Hotel/Boarding house,11
Jewelry,3
Groceries and coal,7
Cleaning,1
Music lessons,0
Sewing machine,4
Restaurant/saloon/tavern,4
Cemetery,2
Insurance,4
Bank/Loan,1
Real estate,2
Liquors and cigars,4
Law office,3
Photography,3
Eyeglasses (stereoscopes),2
Private school/training school,1
